adj,variant,beta,delta_z,lambda_z,K_act_k2,is_min_k2,K_act_k1,is_min_k1,E_k2,E_k1,E_k2_bd,E_k2_cl,E_k2_sep,barrier_neb,barrier_li,saddle_E,converged,note,elapsed_s
flat,gl_only,10.0,0.0,0.0,2,True,1,True,32.310722,32.413979,32.310722,0,0,2.60902,23.231671,35.022999,False,NEB K=2->1 (valid endpoints),2.2
smooth,gl_only,10.0,0.5,2.0,2,True,1,True,32.310722,32.413979,32.310722,0,0,2.60902,23.231671,35.022999,False,NEB K=2->1 (valid endpoints),2.2
smooth,gl_only,10.0,0.5,4.0,2,True,1,True,32.310722,32.413979,32.310722,0,0,2.60902,23.231671,35.022999,False,NEB K=2->1 (valid endpoints),2.2
smooth,gl_only,10.0,1.0,2.0,2,True,1,True,32.310722,32.413979,32.310722,0,0,2.60902,23.231671,35.022999,False,NEB K=2->1 (valid endpoints),2.2
smooth,gl_only,10.0,1.0,4.0,2,True,1,True,32.310722,32.413979,32.310722,0,0,2.60902,23.231671,35.022999,False,NEB K=2->1 (valid endpoints),2.3
smooth,gl_only,10.0,2.0,2.0,2,True,1,True,32.310722,32.413979,32.310722,0,0,2.60902,23.231671,35.022999,False,NEB K=2->1 (valid endpoints),2.2
smooth,gl_only,10.0,2.0,4.0,2,True,1,True,32.310722,32.413979,32.310722,0,0,2.60902,23.231671,35.022999,False,NEB K=2->1 (valid endpoints),2.3
flat,full_scc,10.0,0.0,0.0,2,True,1,True,44.219584,45.021359,33.257224,2.806647,8.155713,2.760679,37.823888,47.782038,False,NEB K=2->1 (valid endpoints),3.4
smooth,full_scc,10.0,0.5,2.0,2,True,1,True,44.219738,43.993496,33.257916,2.806956,8.154866,3.513234,43.622448,47.732972,False,NEB K=2->1 (valid endpoints),3.1
smooth,full_scc,10.0,0.5,4.0,2,True,1,True,44.219848,44.071646,33.258416,2.807177,8.154255,3.491766,43.660102,47.711614,False,NEB K=2->1 (valid endpoints),3.1
smooth,full_scc,10.0,1.0,2.0,2,True,1,True,44.219971,44.161088,33.258977,2.807423,8.153571,3.467501,43.695176,47.687472,False,NEB K=2->1 (valid endpoints),3.1
smooth,full_scc,10.0,1.0,4.0,2,True,1,True,44.22004,44.211752,33.259293,2.807561,8.153186,3.454434,43.711313,47.674474,False,NEB K=2->1 (valid endpoints),3.1
smooth,full_scc,10.0,2.0,2.0,2,True,1,True,44.220051,44.219898,33.259344,2.807583,8.153124,3.452391,43.713656,47.672442,False,NEB K=2->1 (valid endpoints),3.1
smooth,full_scc,10.0,2.0,4.0,2,True,1,True,44.220051,44.220051,33.259344,2.807583,8.153123,3.452352,43.713702,47.672402,False,NEB K=2->1 (valid endpoints),3.1
flat,gl_only,20.0,0.0,0.0,2,True,1,True,42.063128,43.648362,42.063128,0,0,5.000465,66.362516,48.648827,False,NEB K=2->1 (valid endpoints),1.9
smooth,gl_only,20.0,0.5,2.0,2,True,1,True,42.063128,43.648362,42.063128,0,0,5.000465,66.362516,48.648827,False,NEB K=2->1 (valid endpoints),1.8
smooth,gl_only,20.0,0.5,4.0,2,True,1,True,42.063128,43.648362,42.063128,0,0,5.000465,66.362516,48.648827,False,NEB K=2->1 (valid endpoints),1.8
smooth,gl_only,20.0,1.0,2.0,2,True,1,True,42.063128,43.648362,42.063128,0,0,5.000465,66.362516,48.648827,False,NEB K=2->1 (valid endpoints),1.8
smooth,gl_only,20.0,1.0,4.0,2,True,1,True,42.063128,43.648362,42.063128,0,0,5.000465,66.362516,48.648827,False,NEB K=2->1 (valid endpoints),1.8
smooth,gl_only,20.0,2.0,2.0,2,True,1,True,42.063128,43.648362,42.063128,0,0,5.000465,66.362516,48.648827,False,NEB K=2->1 (valid endpoints),1.8
smooth,gl_only,20.0,2.0,4.0,2,True,1,True,42.063128,43.648362,42.063128,0,0,5.000465,66.362516,48.648827,False,NEB K=2->1 (valid endpoints),1.8
flat,full_scc,20.0,0.0,0.0,2,True,1,True,52.133537,56.0534,42.253163,3.37635,6.504024,4.154241,80.322195,60.207641,False,NEB K=2->1 (valid endpoints),2.7
smooth,full_scc,20.0,0.5,2.0,2,True,1,True,52.133537,56.085139,42.253163,3.37635,6.504024,4.132173,80.393868,60.217312,False,NEB K=2->1 (valid endpoints),2.7
smooth,full_scc,20.0,0.5,4.0,2,True,1,True,52.133537,56.110713,42.253163,3.37635,6.504024,4.11404,80.445516,60.224752,False,NEB K=2->1 (valid endpoints),2.8
smooth,full_scc,20.0,1.0,2.0,2,True,1,True,52.133537,56.142338,42.253163,3.37635,6.504024,4.119806,80.503278,60.262145,False,NEB K=2->1 (valid endpoints),2.8
smooth,full_scc,20.0,1.0,4.0,2,True,1,True,52.133537,56.161548,42.253163,3.37635,6.504024,4.276039,80.535746,60.437587,False,NEB K=2->1 (valid endpoints),2.8
smooth,full_scc,20.0,2.0,2.0,2,True,1,True,52.133537,56.164733,42.253163,3.37635,6.504024,4.271275,80.540967,60.436007,False,NEB K=2->1 (valid endpoints),2.8
smooth,full_scc,20.0,2.0,4.0,2,True,1,True,52.133537,56.164793,42.253163,3.37635,6.504024,4.271231,80.541065,60.436024,False,NEB K=2->1 (valid endpoints),2.7
