config,grid_size,n,c_ref,epsilon,mass1,mass2,x1,y1,x2,y2,pair_mid_x,pair_mid_y,center_offset,center_offset_norm,d_c,theta,theta_mod_pi,delta_theta_mod_pi,hard_overlap,soft_overlap,d_min,lambda_coupling,regime_lambda,regime_geometric,total_energy,swap_from_previous,elapsed_s
15x15_c0.5,15,225,0.5,-3.0,53.24999999999989,59.24999999999912,11.044713255623375,3.4488370610937142,3.889772930896913,11.082261825835182,7.467243093260144,7.265549443464448,0.5374314980754162,0.03838796414824402,10.462425373180213,2.3238503080867776,-0.8177423455030155,0.001331652824142715,0.0,0.0,1.0,0.0,weakly-interacting,weakly-interacting,8.790481378573565,False,2.6035380363464355
15x15_c0.5,15,225,0.5,-2.0,54.24999999999964,58.25000000000095,11.030493620081806,3.4644070660192243,3.8375196052249523,11.118644498010726,7.434006612653379,7.2915257820149755,0.5228279080216577,0.03734485057297555,10.503629174895018,2.3251371361598414,-0.8164555174299517,0.00261848089720651,0.0,0.0,2.0,0.0,weakly-interacting,weakly-interacting,8.803698143530628,False,2.605865955352783
15x15_c0.5,15,225,0.5,-1.0,55.25000000000037,57.2499999999998,10.82228045878927,3.4843868705163845,3.7989128955428817,11.14528444185174,7.310596677166076,7.314835656184062,0.44225760171132944,0.03158982869366639,10.393124820137274,2.3128058775031066,-0.8287867760866865,-0.00971277775952828,0.0,0.0,2.0,0.0,weakly-interacting,weakly-interacting,8.980501084293348,False,2.5837490558624268
15x15_c0.5,15,225,0.5,-0.5,55.7500000000009,56.74999999999981,10.789579616197361,3.507286106802082,3.7804868674125496,11.157655073503895,7.285033241804955,7.3324705901529885,0.4379276678294241,0.03128054770210172,10.37571811913479,2.3124774937725885,-0.8291151598172046,-0.010041161490046413,0.0,0.0,2.0,0.0,weakly-interacting,weakly-interacting,8.978532172125693,False,2.6209540367126465
15x15_c0.5,15,225,0.5,0.0,56.25000000000009,56.2499999999991,10.763350297951787,3.52118059186686,3.750359501017423,11.176142539911236,7.256854899484605,7.348661565889048,0.4330581103240645,0.030932722166004605,10.381737925024568,2.312455481426172,-0.8291371721636209,-0.010063173836462713,0.0,0.0,1.0,0.0,weakly-interacting,weakly-interacting,8.97661974625029,False,2.629607915878296
15x15_c0.5,15,225,0.5,0.5,56.7500000000002,55.750000000000284,10.740610086958672,3.524902971486255,3.7092876030388044,11.20312420819388,7.224948844998738,7.364013589840068,0.4279110613836942,0.030565075813121016,10.411271643401925,2.3122446439393216,-0.8293480096504715,-0.010274011323313292,0.0,0.0,2.0,0.0,weakly-interacting,weakly-interacting,8.972484130663918,False,2.699812889099121
15x15_c0.5,15,225,0.5,1.0,57.249999999999766,55.250000000000576,10.717964207781494,3.524031388207875,3.6809781532488532,11.2242975025563,7.199471180515173,7.374164445382088,0.42401389605082807,0.030286706860773432,10.431359976698602,2.3112178051453656,-0.8303748484444275,-0.011300850117269334,0.0,0.0,2.0,0.0,weakly-interacting,weakly-interacting,8.964236420113403,False,2.8613030910491943
15x15_c0.5,15,225,0.5,2.0,58.24999999999998,54.249999999999076,10.659791906577736,3.511070291039379,3.6439638908777514,11.249876261797004,7.151877898727744,7.380473276418192,0.4096667062263523,0.029261907587596593,10.445619206103324,2.3072335899706355,-0.8343590636191576,-0.015285065291999356,0.0,0.0,2.0,0.0,weakly-interacting,weakly-interacting,8.946065724775124,False,2.5858519077301025
15x15_c0.5,15,225,0.5,3.0,59.249999999999375,53.25000000000018,10.575133457436241,3.4476053313362494,3.6056488180393913,11.274606122989612,7.090391137737816,7.361105727162931,0.37224710068905303,0.026589078620646644,10.48025083341668,2.2983051996542434,-0.8432874539355497,-0.0242134556083915,0.0,0.0,2.0,0.0,weakly-interacting,weakly-interacting,8.859288708596996,False,2.5834360122680664
15x15_c0.6,15,225,0.6,-3.0,64.50000000000006,70.50000000000065,6.640004627331173,12.146124274941887,9.175868305107814,2.90474727232021,7.9079364662194935,7.525435773631048,1.0490144798344776,0.07492960570246268,9.582987712443948,-1.3029850149655275,-1.3029850149655275,0.05236313514581514,0.0,0.0,4.0,0.0,well-separated,well-separated,8.337219935021547,False,2.6324353218078613
