direction,lambda_rep,E_lambda,E0_inferred,overlap,center_offset_norm,separation,branch_type,regime_lambda,field_l2_step,field_linf_step,center_step,jump_flag
up,0.0,12.960273694390782,12.960273694390782,9.939492697036329,0.12897865713323933,1.1158408078898874,Type B candidate,strongly-interacting,0.0,0.0,0.0,False
up,0.01,5.203772724896156,5.187717949135614,1.6054775760542732,0.2042690158656747,4.489520576239044,Type B candidate,strongly-interacting,0.4477455397427742,0.7010626481298168,0.21838861340734594,True
up,0.02,5.204353310202227,5.173674082541083,1.5339613830571721,0.20257092030479262,4.521108591339974,Type B candidate,strongly-interacting,0.021189289087465892,0.10974334228474736,0.005053540588244735,False
up,0.05,5.2397635266300515,5.175315960927504,1.2889513140509425,0.20024044860577492,4.566874347293603,Type B candidate,strongly-interacting,0.017076126505357413,0.08885240824886353,0.005175256316919132,False
up,0.075,5.261275400740788,5.183447270680009,1.0377084008103774,0.19739858443301664,4.613991915636456,Type B candidate,weakly-interacting,0.017392681316412976,0.07056034641042774,0.005595518177981339,False
up,0.1,5.276317912167477,5.193663353483322,0.8265455868415519,0.19444101835923938,4.653574982827422,Type B candidate,weakly-interacting,0.017693799365724034,0.07701276640407234,0.005507744052610939,False
down,0.0,5.903703132853319,5.903703132853319,2.3178039486086206,0.20643395006237752,3.1418401712238775,Type B candidate,strongly-interacting,0.033203157806267376,0.1497936256069646,0.00818303786395833,False
down,0.01,5.961519000580806,5.938554086024808,2.2964914555997753,0.2050892821103672,3.165313755392859,Type B candidate,strongly-interacting,0.04854227049668043,0.23883866252607194,0.01100922379875815,False
down,0.02,6.047203440528482,6.001328202607054,2.2937618960713806,0.20373576066099786,3.212713405863946,Type B candidate,strongly-interacting,0.03878395290360227,0.155082471683266,0.009580245327034127,False
down,0.05,6.147670148121529,6.042029144716383,2.1128200681029092,0.20264202175607132,3.255674590044656,Type B candidate,strongly-interacting,0.03325486806444681,0.18435488346538154,0.009148014190898083,False
down,0.075,6.23193495817119,6.07640671916114,2.073709853467338,0.20442731161461775,3.2705290178552966,Type B candidate,strongly-interacting,0.4471869553507881,0.6560556384210954,0.1892762303772072,True
down,0.1,14.793743209397249,13.870821848983077,9.229213604141723,0.0939364072669888,1.1525384415234927,Mixed/ambiguous,strongly-interacting,0.0,0.0,0.0,False
