key,branch,source_lambda,init_index,eval_lambda,E_lambda,E0,overlap,center_offset_norm,separation,branch_type
Type A candidate|co0.05|ov1.4|sep5.0,cand_lam0_init0,0.0,0,0,6.180397847777376,6.180397847777376,1.3600785522092425,0.05029464054932914,5.036053165422162,Type A candidate
Type A candidate|co0.05|ov1.4|sep5.0,cand_lam0_init0,0.0,0,0.01,6.1939986332994685,6.180397847777376,1.3600785522092425,0.05029464054932914,5.036053165422162,Type A candidate
Type A candidate|co0.05|ov1.4|sep5.0,cand_lam0_init0,0.0,0,0.05,6.248401775387839,6.180397847777376,1.3600785522092425,0.05029464054932914,5.036053165422162,Type A candidate
Type A candidate|co0.05|ov1.4|sep5.0,cand_lam0_init0,0.0,0,0.1,6.316405702998301,6.180397847777376,1.3600785522092425,0.05029464054932914,5.036053165422162,Type A candidate
Type A candidate|co0.05|ov1.4|sep5.0,cand_lam0_init0,0.0,0,0.5,6.860437123881997,6.180397847777376,1.3600785522092425,0.05029464054932914,5.036053165422162,Type A candidate
Type A candidate|co0.05|ov1.4|sep5.0,cand_lam0_init0,0.0,0,1,7.540476399986619,6.180397847777376,1.3600785522092425,0.05029464054932914,5.036053165422162,Type A candidate
Type A candidate|co0.05|ov1.4|sep5.0,cand_lam0_init0,0.0,0,5,12.98079060882359,6.180397847777376,1.3600785522092425,0.05029464054932914,5.036053165422162,Type A candidate
Type A candidate|co0.05|ov0.1|sep5.6,cand_lam0_init1,0.0,1,0,6.181959856646338,6.181959856646338,0.07925813908294974,0.053124499818067036,5.619064969379552,Type A candidate
Type A candidate|co0.05|ov0.1|sep5.6,cand_lam0_init1,0.0,1,0.01,6.182752438037167,6.181959856646338,0.07925813908294974,0.053124499818067036,5.619064969379552,Type A candidate
Type A candidate|co0.05|ov0.1|sep5.6,cand_lam0_init1,0.0,1,0.05,6.185922763600486,6.181959856646338,0.07925813908294974,0.053124499818067036,5.619064969379552,Type A candidate
Type A candidate|co0.05|ov0.1|sep5.6,cand_lam0_init1,0.0,1,0.1,6.189885670554633,6.181959856646338,0.07925813908294974,0.053124499818067036,5.619064969379552,Type A candidate
Type A candidate|co0.05|ov0.1|sep5.6,cand_lam0_init1,0.0,1,0.5,6.221588926187812,6.181959856646338,0.07925813908294974,0.053124499818067036,5.619064969379552,Type A candidate
Type A candidate|co0.05|ov0.1|sep5.6,cand_lam0_init1,0.0,1,1,6.261217995729288,6.181959856646338,0.07925813908294974,0.053124499818067036,5.619064969379552,Type A candidate
Type A candidate|co0.05|ov0.1|sep5.6,cand_lam0_init1,0.0,1,5,6.578250552061086,6.181959856646338,0.07925813908294974,0.053124499818067036,5.619064969379552,Type A candidate
Type A candidate|co0.03|ov0.2|sep5.2,cand_lam0_init2,0.0,2,0,6.585627219678499,6.585627219678499,0.2402536778884123,0.028862331819269473,5.189447013876682,Type A candidate
Type A candidate|co0.03|ov0.2|sep5.2,cand_lam0_init2,0.0,2,0.01,6.5880297564573835,6.585627219678499,0.2402536778884123,0.028862331819269473,5.189447013876682,Type A candidate
Type A candidate|co0.03|ov0.2|sep5.2,cand_lam0_init2,0.0,2,0.05,6.59763990357292,6.585627219678499,0.2402536778884123,0.028862331819269473,5.189447013876682,Type A candidate
