key,branch,source_lambda,init_index,eval_lambda,E_lambda,E0,overlap,center_offset_norm,separation,branch_type
Type A candidate|co0.05|ov1.6|sep4.9,cand_lam0_init0,0.0,0,0,6.341832562265909,6.341832562265909,1.6199884879248887,0.05109271683975793,4.94652174546812,Type A candidate
Type A candidate|co0.05|ov1.6|sep4.9,cand_lam0_init0,0.0,0,0.01,6.358032447145158,6.341832562265909,1.6199884879248887,0.05109271683975793,4.94652174546812,Type A candidate
Type A candidate|co0.05|ov1.6|sep4.9,cand_lam0_init0,0.0,0,0.05,6.422831986662153,6.341832562265909,1.6199884879248887,0.05109271683975793,4.94652174546812,Type A candidate
Type A candidate|co0.05|ov1.6|sep4.9,cand_lam0_init0,0.0,0,0.1,6.503831411058398,6.341832562265909,1.6199884879248887,0.05109271683975793,4.94652174546812,Type A candidate
Type A candidate|co0.05|ov1.6|sep4.9,cand_lam0_init0,0.0,0,0.5,7.151826806228353,6.341832562265909,1.6199884879248887,0.05109271683975793,4.94652174546812,Type A candidate
Type A candidate|co0.05|ov1.6|sep4.9,cand_lam0_init0,0.0,0,1,7.961821050190798,6.341832562265909,1.6199884879248887,0.05109271683975793,4.94652174546812,Type A candidate
Type A candidate|co0.05|ov1.6|sep4.9,cand_lam0_init0,0.0,0,5,14.441775001890353,6.341832562265909,1.6199884879248887,0.05109271683975793,4.94652174546812,Type A candidate
Type A candidate|co0.05|ov0.1|sep5.6,cand_lam0.05_init1,0.05,1,0,6.178125847003236,6.178125847003236,0.056333088634003214,0.05227636280378253,5.6164431039954925,Type A candidate
Type A candidate|co0.05|ov0.1|sep5.6,cand_lam0.05_init1,0.05,1,0.01,6.178689177889576,6.178125847003236,0.056333088634003214,0.05227636280378253,5.6164431039954925,Type A candidate
Type A candidate|co0.05|ov0.1|sep5.6,cand_lam0.05_init1,0.05,1,0.05,6.180942501434936,6.178125847003236,0.056333088634003214,0.05227636280378253,5.6164431039954925,Type A candidate
Type A candidate|co0.05|ov0.1|sep5.6,cand_lam0.05_init1,0.05,1,0.1,6.183759155866636,6.178125847003236,0.056333088634003214,0.05227636280378253,5.6164431039954925,Type A candidate
Type A candidate|co0.05|ov0.1|sep5.6,cand_lam0.05_init1,0.05,1,0.5,6.206292391320238,6.178125847003236,0.056333088634003214,0.05227636280378253,5.6164431039954925,Type A candidate
Type A candidate|co0.05|ov0.1|sep5.6,cand_lam0.05_init1,0.05,1,1,6.234458935637239,6.178125847003236,0.056333088634003214,0.05227636280378253,5.6164431039954925,Type A candidate
Type A candidate|co0.05|ov0.1|sep5.6,cand_lam0.05_init1,0.05,1,5,6.459791290173252,6.178125847003236,0.056333088634003214,0.05227636280378253,5.6164431039954925,Type A candidate
Type A candidate|co0.03|ov0.2|sep5.2,cand_lam0_init2,0.0,2,0,6.585627219678496,6.585627219678496,0.2402536778884131,0.028862331819269393,5.1894470138766815,Type A candidate
