key,branch,source_lambda,init_index,eval_lambda,E_lambda,E0,overlap,center_offset_norm,separation,branch_type
Type A candidate|co0.01|ov9.4|sep4.7,cand_lam0_init0,0.0,0,0,28.76904015331524,28.76904015331524,9.366305906234889,0.014046658850312416,4.691145363173163,Type A candidate
Type A candidate|co0.01|ov9.4|sep4.7,cand_lam0_init0,0.0,0,0.01,28.862703212377586,28.76904015331524,9.366305906234889,0.014046658850312416,4.691145363173163,Type A candidate
Type A candidate|co0.01|ov9.4|sep4.7,cand_lam0_init0,0.0,0,0.05,29.23735544862698,28.76904015331524,9.366305906234889,0.014046658850312416,4.691145363173163,Type A candidate
Type A candidate|co0.01|ov9.4|sep4.7,cand_lam0_init0,0.0,0,0.1,29.705670743938725,28.76904015331524,9.366305906234889,0.014046658850312416,4.691145363173163,Type A candidate
Type A candidate|co0.01|ov9.4|sep4.7,cand_lam0_init0,0.0,0,0.5,33.45219310643268,28.76904015331524,9.366305906234889,0.014046658850312416,4.691145363173163,Type A candidate
Type A candidate|co0.01|ov9.4|sep4.7,cand_lam0_init0,0.0,0,1,38.13534605955013,28.76904015331524,9.366305906234889,0.014046658850312416,4.691145363173163,Type A candidate
Type A candidate|co0.01|ov9.4|sep4.7,cand_lam0_init0,0.0,0,5,75.60056968448967,28.76904015331524,9.366305906234889,0.014046658850312416,4.691145363173163,Type A candidate
Type A candidate|co0.02|ov4.9|sep8.1,cand_lam0_init1,0.0,1,0,27.18397275862531,27.18397275862531,4.910837979439608,0.020040823736389723,8.13496870804661,Type A candidate
Type A candidate|co0.02|ov4.9|sep8.1,cand_lam0_init1,0.0,1,0.01,27.233081138419706,27.18397275862531,4.910837979439608,0.020040823736389723,8.13496870804661,Type A candidate
Type A candidate|co0.02|ov4.9|sep8.1,cand_lam0_init1,0.0,1,0.05,27.429514657597288,27.18397275862531,4.910837979439608,0.020040823736389723,8.13496870804661,Type A candidate
Type A candidate|co0.02|ov4.9|sep8.1,cand_lam0_init1,0.0,1,0.1,27.67505655656927,27.18397275862531,4.910837979439608,0.020040823736389723,8.13496870804661,Type A candidate
Type A candidate|co0.02|ov4.9|sep8.1,cand_lam0_init1,0.0,1,0.5,29.639391748345112,27.18397275862531,4.910837979439608,0.020040823736389723,8.13496870804661,Type A candidate
Type A candidate|co0.02|ov4.9|sep8.1,cand_lam0_init1,0.0,1,1,32.094810738064915,27.18397275862531,4.910837979439608,0.020040823736389723,8.13496870804661,Type A candidate
Type A candidate|co0.02|ov4.9|sep8.1,cand_lam0_init1,0.0,1,5,51.73816265582335,27.18397275862531,4.910837979439608,0.020040823736389723,8.13496870804661,Type A candidate
Type B candidate|co0.12|ov3.4|sep5.2,cand_lam0_init2,0.0,2,0,20.050070246099686,20.050070246099686,3.4219181740256346,0.12236432903348911,5.157879959792933,Type B candidate
Type B candidate|co0.12|ov3.4|sep5.2,cand_lam0_init2,0.0,2,0.01,20.08428942783994,20.050070246099686,3.4219181740256346,0.12236432903348911,5.157879959792933,Type B candidate
Type B candidate|co0.12|ov3.4|sep5.2,cand_lam0_init2,0.0,2,0.05,20.22116615480097,20.050070246099686,3.4219181740256346,0.12236432903348911,5.157879959792933,Type B candidate
Type B candidate|co0.12|ov3.4|sep5.2,cand_lam0_init2,0.0,2,0.1,20.39226206350225,20.050070246099686,3.4219181740256346,0.12236432903348911,5.157879959792933,Type B candidate
Type B candidate|co0.12|ov3.4|sep5.2,cand_lam0_init2,0.0,2,0.5,21.761029333112504,20.050070246099686,3.4219181740256346,0.12236432903348911,5.157879959792933,Type B candidate
Type B candidate|co0.12|ov3.4|sep5.2,cand_lam0_init2,0.0,2,1,23.47198842012532,20.050070246099686,3.4219181740256346,0.12236432903348911,5.157879959792933,Type B candidate
Type B candidate|co0.12|ov3.4|sep5.2,cand_lam0_init2,0.0,2,5,37.15966111622786,20.050070246099686,3.4219181740256346,0.12236432903348911,5.157879959792933,Type B candidate
