delta_z,lambda_z,product,w_bridge,K_act,barrier_smooth,barrier_flat,ratio_smooth_flat,notes
0.25,0.5,0.0312,0.969233,2,0.0,0.0,nan,NEB: 16 images
0.25,1.0,0.0625,0.939413,2,0.0,0.0,nan,NEB: 16 images
0.25,2.0,0.125,0.882497,2,0.0,0.0,nan,NEB: 16 images
0.25,4.0,0.25,0.778801,2,0.0,0.0,nan,NEB: 16 images
0.25,8.0,0.5,0.606531,2,0.0,0.0,nan,NEB: 16 images
0.5,0.5,0.125,0.882497,2,0.0,0.0,nan,NEB: 16 images
0.5,1.0,0.25,0.778801,2,0.0,0.0,nan,NEB: 16 images
0.5,2.0,0.5,0.606531,2,0.0,0.0,nan,NEB: 16 images
0.5,4.0,1.0,0.367879,2,0.0,0.0,nan,NEB: 16 images
0.5,8.0,2.0,0.135335,2,0.0,0.0,nan,NEB: 16 images
1.0,0.5,0.5,0.606531,2,0.0,0.0,nan,NEB: 16 images
1.0,1.0,1.0,0.367879,2,0.0,0.0,nan,NEB: 16 images
1.0,2.0,2.0,0.135335,2,0.0,0.0,nan,NEB: 16 images
1.0,4.0,4.0,0.018316,2,0.0,0.0,nan,NEB: 16 images
1.0,8.0,8.0,0.000335,2,0.0,0.0,nan,NEB: 16 images
2.0,0.5,2.0,0.135335,2,0.0,0.0,nan,NEB: 16 images
2.0,1.0,4.0,0.018316,2,0.0,0.0,nan,NEB: 16 images
2.0,2.0,8.0,0.000335,2,0.0,0.0,nan,NEB: 16 images
2.0,4.0,16.0,0.0,2,0.0,0.0,nan,NEB: 16 images
2.0,8.0,32.0,0.0,2,0.0,0.0,nan,NEB: 16 images
