adj,beta,delta_z,lambda_z,K_act,barrier,note
flat,4.0,0.0,0.0,2,0.0,NEB K=2->1
hard,4.0,0.25,inf,2,nan,K=1 ref not found
smooth,4.0,0.25,1.0,2,0.0,NEB K=2->1
smooth,4.0,0.25,2.0,2,0.0,NEB K=2->1
smooth,4.0,0.25,4.0,2,0.0,NEB K=2->1
smooth,4.0,0.25,8.0,2,0.0,NEB K=2->1
hard,4.0,0.5,inf,2,nan,K=1 ref not found
smooth,4.0,0.5,1.0,2,0.0,NEB K=2->1
smooth,4.0,0.5,2.0,2,0.0,NEB K=2->1
smooth,4.0,0.5,4.0,2,0.0,NEB K=2->1
smooth,4.0,0.5,8.0,2,0.0,NEB K=2->1
hard,4.0,1.0,inf,2,nan,K=1 ref not found
smooth,4.0,1.0,1.0,2,0.0,NEB K=2->1
smooth,4.0,1.0,2.0,2,0.0,NEB K=2->1
smooth,4.0,1.0,4.0,2,0.0,NEB K=2->1
smooth,4.0,1.0,8.0,2,0.0,NEB K=2->1
hard,4.0,2.0,inf,2,nan,K=1 ref not found
smooth,4.0,2.0,1.0,2,0.0,NEB K=2->1
smooth,4.0,2.0,2.0,2,0.0,NEB K=2->1
smooth,4.0,2.0,4.0,2,0.0,NEB K=2->1
smooth,4.0,2.0,8.0,2,0.0,NEB K=2->1
flat,10.0,0.0,0.0,2,0.0,NEB K=2->1
hard,10.0,0.25,inf,2,nan,K=1 ref not found
smooth,10.0,0.25,1.0,2,0.0,NEB K=2->1
smooth,10.0,0.25,2.0,2,0.0,NEB K=2->1
smooth,10.0,0.25,4.0,2,0.0,NEB K=2->1
smooth,10.0,0.25,8.0,2,0.0,NEB K=2->1
hard,10.0,0.5,inf,2,nan,K=1 ref not found
smooth,10.0,0.5,1.0,2,0.0,NEB K=2->1
smooth,10.0,0.5,2.0,2,0.0,NEB K=2->1
smooth,10.0,0.5,4.0,2,0.0,NEB K=2->1
smooth,10.0,0.5,8.0,2,0.0,NEB K=2->1
hard,10.0,1.0,inf,2,nan,K=1 ref not found
smooth,10.0,1.0,1.0,2,0.0,NEB K=2->1
smooth,10.0,1.0,2.0,2,0.0,NEB K=2->1
smooth,10.0,1.0,4.0,2,0.0,NEB K=2->1
smooth,10.0,1.0,8.0,2,0.0,NEB K=2->1
hard,10.0,2.0,inf,2,nan,K=1 ref not found
smooth,10.0,2.0,1.0,2,0.0,NEB K=2->1
smooth,10.0,2.0,2.0,2,0.0,NEB K=2->1
smooth,10.0,2.0,4.0,2,0.0,NEB K=2->1
smooth,10.0,2.0,8.0,2,0.0,NEB K=2->1
flat,20.0,0.0,0.0,2,0.410267,NEB K=2->1
hard,20.0,0.25,inf,2,nan,K=1 ref not found
smooth,20.0,0.25,1.0,2,0.410267,NEB K=2->1
smooth,20.0,0.25,2.0,2,0.410268,NEB K=2->1
smooth,20.0,0.25,4.0,2,0.410268,NEB K=2->1
smooth,20.0,0.25,8.0,2,0.410268,NEB K=2->1
hard,20.0,0.5,inf,2,nan,K=1 ref not found
smooth,20.0,0.5,1.0,2,0.410268,NEB K=2->1
smooth,20.0,0.5,2.0,2,0.410268,NEB K=2->1
smooth,20.0,0.5,4.0,2,0.410269,NEB K=2->1
smooth,20.0,0.5,8.0,2,0.41027,NEB K=2->1
hard,20.0,1.0,inf,2,nan,K=1 ref not found
smooth,20.0,1.0,1.0,2,0.410269,NEB K=2->1
smooth,20.0,1.0,2.0,2,0.41027,NEB K=2->1
smooth,20.0,1.0,4.0,2,0.41027,NEB K=2->1
smooth,20.0,1.0,8.0,2,0.41027,NEB K=2->1
hard,20.0,2.0,inf,2,nan,K=1 ref not found
smooth,20.0,2.0,1.0,2,0.41027,NEB K=2->1
smooth,20.0,2.0,2.0,2,0.41027,NEB K=2->1
smooth,20.0,2.0,4.0,2,0.41027,NEB K=2->1
smooth,20.0,2.0,8.0,2,0.41027,NEB K=2->1
flat,50.0,0.0,0.0,2,0.0,NEB K=2->1
hard,50.0,0.25,inf,2,nan,K=1 ref not found
smooth,50.0,0.25,1.0,2,0.0,NEB K=2->1
smooth,50.0,0.25,2.0,2,0.0,NEB K=2->1
smooth,50.0,0.25,4.0,2,0.0,NEB K=2->1
smooth,50.0,0.25,8.0,2,0.0,NEB K=2->1
hard,50.0,0.5,inf,2,nan,K=1 ref not found
smooth,50.0,0.5,1.0,2,0.0,NEB K=2->1
smooth,50.0,0.5,2.0,2,0.0,NEB K=2->1
smooth,50.0,0.5,4.0,2,0.0,NEB K=2->1
smooth,50.0,0.5,8.0,2,0.0,NEB K=2->1
hard,50.0,1.0,inf,2,nan,K=1 ref not found
smooth,50.0,1.0,1.0,2,0.0,NEB K=2->1
smooth,50.0,1.0,2.0,2,0.0,NEB K=2->1
smooth,50.0,1.0,4.0,2,0.0,NEB K=2->1
smooth,50.0,1.0,8.0,2,0.0,NEB K=2->1
hard,50.0,2.0,inf,2,nan,K=1 ref not found
smooth,50.0,2.0,1.0,2,0.0,NEB K=2->1
smooth,50.0,2.0,2.0,2,0.0,NEB K=2->1
smooth,50.0,2.0,4.0,2,0.0,NEB K=2->1
smooth,50.0,2.0,8.0,2,0.0,NEB K=2->1
