adj,variant,delta_z,lambda_z,beta,K_act,barrier_neb,barrier_li,E_A,E_B,saddle_E,E_A_bd,E_A_cl,E_A_sep,converged,n_iter,final_max_force,note,elapsed_s
flat,gl_only,0.0,0.0,20.0,2,-0.101164,53.51748,53.536441,20.700476,53.435277,53.536441,0.0,0.0,False,600,0.39657,NEB K=2->1,5.2
smooth,gl_only,0.5,2.0,20.0,2,-0.102117,48.413279,60.731735,20.713072,60.629618,60.731735,0.0,0.0,False,600,0.50036,NEB K=2->1,5.0
smooth,gl_only,0.5,4.0,20.0,2,-0.010005,51.007387,57.455644,17.281637,57.445639,57.455644,0.0,0.0,False,600,0.27319,NEB K=2->1,5.0
smooth,gl_only,1.0,2.0,20.0,2,-0.01691,39.579161,53.372846,14.024,53.355936,53.372846,0.0,0.0,False,600,0.31031,NEB K=2->1,4.8
smooth,gl_only,1.0,4.0,20.0,2,-0.071554,71.618731,42.687452,12.384663,42.615898,42.687452,0.0,0.0,False,600,0.76437,NEB K=2->1,4.8
smooth,gl_only,2.0,2.0,20.0,2,-0.022078,46.857245,54.075057,12.108636,54.052979,54.075057,0.0,0.0,False,600,0.43978,NEB K=2->1,4.7
smooth,gl_only,2.0,4.0,20.0,2,-0.033226,40.988132,52.45575,12.103479,52.422524,52.45575,0.0,0.0,False,600,0.51269,NEB K=2->1,4.7
flat,bd_cl,0.0,0.0,20.0,2,-0.722219,44.492756,70.770417,29.347274,70.048198,68.041981,2.728436,0.0,False,600,1.13311,NEB K=2->1,5.9
smooth,bd_cl,0.5,2.0,20.0,2,-0.706838,46.33621,52.552217,25.111453,51.845379,50.261355,2.290863,0.0,False,600,0.99783,NEB K=2->1,5.0
smooth,bd_cl,0.5,4.0,20.0,2,-6.668516,48.886427,61.60944,22.428511,54.940925,59.342173,2.267268,0.0,False,600,0.19059,NEB K=2->1,5.2
smooth,bd_cl,1.0,2.0,20.0,2,-0.742798,65.078293,54.533299,19.552082,53.790501,52.3553,2.177999,0.0,False,600,1.1469,NEB K=2->1,5.6
smooth,bd_cl,1.0,4.0,20.0,2,-0.342232,47.851692,48.668032,17.940412,48.3258,46.374632,2.2934,0.0,False,600,0.99428,NEB K=2->1,5.1
smooth,bd_cl,2.0,2.0,20.0,2,-0.179197,33.26853,53.077957,17.661956,52.89876,50.828698,2.249259,0.0,False,600,1.0614,NEB K=2->1,5.2
smooth,bd_cl,2.0,4.0,20.0,2,-0.573187,47.652343,48.457076,17.656745,47.88389,46.167985,2.289091,0.0,False,600,0.99406,NEB K=2->1,5.4
flat,bd_sep,0.0,0.0,20.0,2,-0.242315,64.620395,63.99482,49.958525,63.752505,57.792751,0.0,6.20207,False,600,0.91488,NEB K=2->1,5.6
smooth,bd_sep,0.5,2.0,20.0,2,-1.801825,82.069891,64.308831,55.323258,62.507005,58.080074,0.0,6.228757,False,600,0.70319,NEB K=2->1,5.2
smooth,bd_sep,0.5,4.0,20.0,2,-14.852609,81.679071,70.370959,34.867241,55.51835,63.728275,0.0,6.642684,False,600,0.71439,NEB K=2->1,6.1
smooth,bd_sep,1.0,2.0,20.0,2,-0.373733,46.435714,55.221714,22.920082,54.847982,50.179061,0.0,5.042653,False,600,0.96117,NEB K=2->1,6.1
smooth,bd_sep,1.0,4.0,20.0,2,-7.537566,49.839029,50.794687,20.478806,43.257121,45.803148,0.0,4.991538,False,600,0.83862,NEB K=2->1,5.7
smooth,bd_sep,2.0,2.0,20.0,2,0.181974,62.398233,53.539234,20.241517,53.721207,48.629281,0.0,4.909953,False,600,1.09765,NEB K=2->1,5.5
smooth,bd_sep,2.0,4.0,20.0,2,-0.337178,50.135588,50.362791,20.237091,50.025612,45.388589,0.0,4.974201,False,600,0.9598,NEB K=2->1,5.5
flat,full_scc,0.0,0.0,20.0,2,-10.952813,81.119286,73.042714,30.887928,62.0899,60.932064,3.28672,8.82393,False,600,0.72025,NEB K=2->1,8.9
smooth,full_scc,0.5,2.0,20.0,2,-0.723058,52.854766,85.186279,27.196816,84.463221,71.951378,3.466246,9.768655,False,600,1.20514,NEB K=2->1,8.1
smooth,full_scc,0.5,4.0,20.0,2,-0.469828,57.029514,68.273551,29.475955,67.803723,58.704073,2.778384,6.791094,False,600,1.13378,NEB K=2->1,8.3
smooth,full_scc,1.0,2.0,20.0,2,-5.109828,47.677845,61.40525,26.981179,56.295421,51.785431,2.972365,6.647454,False,600,0.5646,NEB K=2->1,8.5
smooth,full_scc,1.0,4.0,20.0,2,-0.291051,64.760524,61.179914,33.374667,60.888863,51.415962,3.217122,6.546829,False,600,0.89869,NEB K=2->1,9.0
smooth,full_scc,2.0,2.0,20.0,2,-2.44309,85.617495,58.297834,28.074871,55.854744,49.058891,2.983272,6.255671,False,600,0.64821,NEB K=2->1,6.7
smooth,full_scc,2.0,4.0,20.0,2,-7.208938,63.554495,60.905499,28.069205,53.696561,51.144617,3.218859,6.542023,False,600,1.084,NEB K=2->1,7.2
