beta_ratio,beta,seed,energy,Bind,Sep,Inside,u_std,u_min,u_max,converged
0.1,0.039154786963876836,0,11.48428338876439,0.8974787331419788,0.5437189932079608,0.8804856405143572,0.37735470980340446,0.0,0.8820371127832743,False
0.1,0.039154786963876836,1,11.484214187118635,0.8974686973551225,0.5436997284440318,0.8806124523844541,0.3773794909375965,0.0,0.882139331727113,False
0.1,0.039154786963876836,2,11.484171334465431,0.897457928138815,0.5436903707407736,0.8806836702162891,0.37740280070088095,0.0,0.8821995648961144,False
0.1,0.039154786963876836,3,11.484176018597294,0.897464583291309,0.543691475690564,0.8806587841844817,0.3773898476270918,0.0,0.8821779543059944,False
0.1,0.039154786963876836,4,11.484171218399974,0.8974573834362504,0.5436888114767406,0.8806944039002528,0.3774041574857908,0.0,0.8822078445952768,False
0.2,0.07830957392775367,0,11.545868428774604,0.8969644680508347,0.5431200383301426,0.882418114963598,0.3786675666701337,0.0,0.884053015292517,False
0.2,0.07830957392775367,1,11.545837228413932,0.8969604652318445,0.5431126604348012,0.8825084597924386,0.3786773760182582,0.0,0.8841200510129352,False
0.2,0.07830957392775367,2,11.545748180764303,0.8969490042880596,0.5430910014969452,0.8827019101551651,0.378705480617231,0.0,0.8842689566603248,False
0.2,0.07830957392775367,3,11.54571550124858,0.8969450266913256,0.5430828422180621,0.8827610373571715,0.3787153210780893,0.0,0.8843157872982335,False
0.2,0.07830957392775367,4,11.545715215664721,0.8969453839739598,0.543083787360578,0.8827521575141531,0.3787144664320474,0.0,0.8843091800022983,False
0.5,0.19577393481938415,0,11.724759005654464,0.8953625437833354,0.5411683563400362,0.8896928666013553,0.382708825608414,0.0,0.8913385980119479,False
0.5,0.19577393481938415,1,11.724759005766115,0.8953625438543316,0.541168356531894,0.8896928147481515,0.3827088254282842,0.0,0.8913385692198406,False
0.5,0.19577393481938415,2,12.838864415630342,0.9080905590628743,0.5600110220060377,0.8393950784082761,0.34464743486745936,0.0,0.8393950784082761,False
0.5,0.19577393481938415,3,12.838864415630884,0.9080905590628698,0.5600110220060482,0.839395078408258,0.34464743486746,0.0,0.839395078408258,False
0.5,0.19577393481938415,4,12.838864415631889,0.9080905590628616,0.5600110220060681,0.8393950784082245,0.3446474348674613,0.0,0.8393950784082245,False
0.8,0.3132382957110147,0,11.900433352711856,0.894360587609785,0.5395600810896054,0.8953624371943087,0.385446396919824,0.0,0.8969632924783278,False
0.8,0.3132382957110147,1,11.900311539128257,0.8943440499072046,0.5395237340588299,0.8956875839061551,0.385490491987092,0.0,0.8971905264130937,False
0.8,0.3132382957110147,2,11.900313158833546,0.8943442796029168,0.5395242490688007,0.8956843620450731,0.3854898816937217,0.0,0.8971880593886639,False
0.8,0.3132382957110147,3,11.900312101890744,0.8943440864269201,0.5395238219072048,0.895687169943762,0.38549039322444206,0.0,0.8971901757459408,False
0.8,0.3132382957110147,4,11.900311384171195,0.8943444628573514,0.5395245998006921,0.8956807828968817,0.38548941215823274,0.0,0.8971856639723362,False
0.9,0.3523930826748915,0,11.957576251041933,0.8940331213199386,0.5388558986579723,0.897755368436579,0.3863709955084417,0.0,0.8991815292137033,False
0.9,0.3523930826748915,1,11.957788791579116,0.8940615570581819,0.5389171674276597,0.8974054014256767,0.38629596007725475,0.0,0.898907316122943,False
0.9,0.3523930826748915,2,11.957827865045953,0.8940664220338932,0.5389275440364181,0.8973314081458524,0.386283079593924,0.0,0.8988529934345696,False
0.9,0.3523930826748915,3,11.957702084366037,0.8940498906704984,0.5388923464064183,0.8975607480232074,0.38632678759872024,0.0,0.8990256953974936,False
0.9,0.3523930826748915,4,11.957582396380683,0.8940337852553029,0.5388573983915962,0.8977482096569787,0.3863692420499844,0.0,0.899175559362128,False
1.0,0.3915478696387683,0,12.014118266686138,0.8937070446021836,0.5381361229881041,0.8998958049018111,0.3872857921109688,0.0,0.9012423811714602,False
1.0,0.3915478696387683,1,12.014167101775579,0.8937112340387328,0.5381763123854199,0.8998355750365011,0.38727284371950216,0.0,0.9011916467013311,False
1.0,0.3915478696387683,2,12.014487253245864,0.8937550624990943,0.5382676532361229,0.8993722082413996,0.3871583681573315,0.0,0.9008153672657176,False
1.0,0.3915478696387683,3,12.014117118258108,0.8937058126126141,0.53812819727959,0.8999289196403756,0.3872908398987232,0.0,0.9012683380734222,False
1.0,0.3915478696387683,4,12.014319423051248,0.89373307999102,0.5382222722794845,0.8996139278113513,0.3872159094775937,0.0,0.9010085773558123,False
1.1,0.4307026566026452,0,12.069927892138454,0.8933613746257959,0.5373930523874775,0.902197123567781,0.3882512017448707,0.0,0.9034428288747008,False
1.1,0.4307026566026452,1,12.069956024490402,0.8933648617303114,0.5374061704056882,0.9021474046639646,0.3882401787959791,0.0,0.90340067114473,False
1.1,0.4307026566026452,2,12.070274427720975,0.8934084462980778,0.5375473921336589,0.9016568468469193,0.3881180515490934,0.0,0.9029894524089966,False
