key,branch,source_lambda,init_index,eval_lambda,E_lambda,E0,overlap,center_offset_norm,separation,branch_type
Type A candidate|co0.06|ov2.1|sep3.8,cand_lam0_init0,0.0,0,0,14.821411381000182,14.821411381000182,2.08532447359294,0.05632041294192168,3.8150147062140753,Type A candidate
Type A candidate|co0.06|ov2.1|sep3.8,cand_lam0_init0,0.0,0,0.01,14.842264625736112,14.821411381000182,2.08532447359294,0.05632041294192168,3.8150147062140753,Type A candidate
Type A candidate|co0.06|ov2.1|sep3.8,cand_lam0_init0,0.0,0,0.05,14.925677604679828,14.821411381000182,2.08532447359294,0.05632041294192168,3.8150147062140753,Type A candidate
Type A candidate|co0.06|ov2.1|sep3.8,cand_lam0_init0,0.0,0,0.1,15.029943828359476,14.821411381000182,2.08532447359294,0.05632041294192168,3.8150147062140753,Type A candidate
Type A candidate|co0.06|ov2.1|sep3.8,cand_lam0_init0,0.0,0,0.5,15.864073617796652,14.821411381000182,2.08532447359294,0.05632041294192168,3.8150147062140753,Type A candidate
Type A candidate|co0.06|ov2.1|sep3.8,cand_lam0_init0,0.0,0,1,16.906735854593123,14.821411381000182,2.08532447359294,0.05632041294192168,3.8150147062140753,Type A candidate
Type A candidate|co0.06|ov2.1|sep3.8,cand_lam0_init0,0.0,0,5,25.248033748964883,14.821411381000182,2.08532447359294,0.05632041294192168,3.8150147062140753,Type A candidate
Type A candidate|co0.04|ov1.8|sep4.1,cand_lam0_init1,0.0,1,0,15.161334224588444,15.161334224588444,1.8104077321658036,0.041091896458382224,4.133375819373661,Type A candidate
Type A candidate|co0.04|ov1.8|sep4.1,cand_lam0_init1,0.0,1,0.01,15.179438301910102,15.161334224588444,1.8104077321658036,0.041091896458382224,4.133375819373661,Type A candidate
Type A candidate|co0.04|ov1.8|sep4.1,cand_lam0_init1,0.0,1,0.05,15.251854611196734,15.161334224588444,1.8104077321658036,0.041091896458382224,4.133375819373661,Type A candidate
Type A candidate|co0.04|ov1.8|sep4.1,cand_lam0_init1,0.0,1,0.1,15.342374997805024,15.161334224588444,1.8104077321658036,0.041091896458382224,4.133375819373661,Type A candidate
Type A candidate|co0.04|ov1.8|sep4.1,cand_lam0_init1,0.0,1,0.5,16.066538090671347,15.161334224588444,1.8104077321658036,0.041091896458382224,4.133375819373661,Type A candidate
Type A candidate|co0.04|ov1.8|sep4.1,cand_lam0_init1,0.0,1,1,16.971741956754247,15.161334224588444,1.8104077321658036,0.041091896458382224,4.133375819373661,Type A candidate
Type A candidate|co0.04|ov1.8|sep4.1,cand_lam0_init1,0.0,1,5,24.213372885417463,15.161334224588444,1.8104077321658036,0.041091896458382224,4.133375819373661,Type A candidate
Mixed/ambiguous|co0.12|ov4.5|sep2.0,cand_lam0_init2,0.0,2,0,15.416880593456705,15.416880593456705,4.50662644970866,0.11822036782604946,2.031785223525407,Mixed/ambiguous
Mixed/ambiguous|co0.12|ov4.5|sep2.0,cand_lam0_init2,0.0,2,0.01,15.46194685795379,15.416880593456705,4.50662644970866,0.11822036782604946,2.031785223525407,Mixed/ambiguous
Mixed/ambiguous|co0.12|ov4.5|sep2.0,cand_lam0_init2,0.0,2,0.05,15.642211915942138,15.416880593456705,4.50662644970866,0.11822036782604946,2.031785223525407,Mixed/ambiguous
Mixed/ambiguous|co0.12|ov4.5|sep2.0,cand_lam0_init2,0.0,2,0.1,15.86754323842757,15.416880593456705,4.50662644970866,0.11822036782604946,2.031785223525407,Mixed/ambiguous
Mixed/ambiguous|co0.12|ov4.5|sep2.0,cand_lam0_init2,0.0,2,0.5,17.670193818311034,15.416880593456705,4.50662644970866,0.11822036782604946,2.031785223525407,Mixed/ambiguous
Mixed/ambiguous|co0.12|ov4.5|sep2.0,cand_lam0_init2,0.0,2,1,19.923507043165365,15.416880593456705,4.50662644970866,0.11822036782604946,2.031785223525407,Mixed/ambiguous
Mixed/ambiguous|co0.12|ov4.5|sep2.0,cand_lam0_init2,0.0,2,5,37.95001284200001,15.416880593456705,4.50662644970866,0.11822036782604946,2.031785223525407,Mixed/ambiguous
Type A candidate|co0.06|ov7.5|sep1.4,cand_lam0_init3,0.0,3,0,20.03529724862415,20.03529724862415,7.463343040985164,0.05786290082544588,1.4371456577672743,Type A candidate
Type A candidate|co0.06|ov7.5|sep1.4,cand_lam0_init3,0.0,3,0.01,20.109930679034,20.03529724862415,7.463343040985164,0.05786290082544588,1.4371456577672743,Type A candidate
Type A candidate|co0.06|ov7.5|sep1.4,cand_lam0_init3,0.0,3,0.05,20.40846440067341,20.03529724862415,7.463343040985164,0.05786290082544588,1.4371456577672743,Type A candidate
Type A candidate|co0.06|ov7.5|sep1.4,cand_lam0_init3,0.0,3,0.1,20.78163155272267,20.03529724862415,7.463343040985164,0.05786290082544588,1.4371456577672743,Type A candidate
Type A candidate|co0.06|ov7.5|sep1.4,cand_lam0_init3,0.0,3,0.5,23.766968769116733,20.03529724862415,7.463343040985164,0.05786290082544588,1.4371456577672743,Type A candidate
Type A candidate|co0.06|ov7.5|sep1.4,cand_lam0_init3,0.0,3,1,27.498640289609313,20.03529724862415,7.463343040985164,0.05786290082544588,1.4371456577672743,Type A candidate
Type A candidate|co0.06|ov7.5|sep1.4,cand_lam0_init3,0.0,3,5,57.352012453549975,20.03529724862415,7.463343040985164,0.05786290082544588,1.4371456577672743,Type A candidate
