key,branch,source_lambda,init_index,eval_lambda,E_lambda,E0,overlap,center_offset_norm,separation,branch_type
Type A candidate|co0.02|ov8.4|sep4.9,cand_lam0_init0,0.0,0,0,27.646436004901265,27.646436004901265,8.356453119241605,0.01621649183671646,4.863958900512153,Type A candidate
Type A candidate|co0.02|ov8.4|sep4.9,cand_lam0_init0,0.0,0,0.01,27.73000053609368,27.646436004901265,8.356453119241605,0.01621649183671646,4.863958900512153,Type A candidate
Type A candidate|co0.02|ov8.4|sep4.9,cand_lam0_init0,0.0,0,0.05,28.064258660863345,27.646436004901265,8.356453119241605,0.01621649183671646,4.863958900512153,Type A candidate
Type A candidate|co0.02|ov8.4|sep4.9,cand_lam0_init0,0.0,0,0.1,28.482081316825425,27.646436004901265,8.356453119241605,0.01621649183671646,4.863958900512153,Type A candidate
Type A candidate|co0.02|ov8.4|sep4.9,cand_lam0_init0,0.0,0,0.5,31.824662564522068,27.646436004901265,8.356453119241605,0.01621649183671646,4.863958900512153,Type A candidate
Type A candidate|co0.02|ov8.4|sep4.9,cand_lam0_init0,0.0,0,1,36.00288912414287,27.646436004901265,8.356453119241605,0.01621649183671646,4.863958900512153,Type A candidate
Type A candidate|co0.02|ov8.4|sep4.9,cand_lam0_init0,0.0,0,5,69.4287016011093,27.646436004901265,8.356453119241605,0.01621649183671646,4.863958900512153,Type A candidate
Type A candidate|co0.02|ov4.9|sep8.1,cand_lam0_init1,0.0,1,0,27.183972759592567,27.183972759592567,4.910837894872036,0.020040823837316233,8.134968698827022,Type A candidate
Type A candidate|co0.02|ov4.9|sep8.1,cand_lam0_init1,0.0,1,0.01,27.233081138541287,27.183972759592567,4.910837894872036,0.020040823837316233,8.134968698827022,Type A candidate
Type A candidate|co0.02|ov4.9|sep8.1,cand_lam0_init1,0.0,1,0.05,27.42951465433617,27.183972759592567,4.910837894872036,0.020040823837316233,8.134968698827022,Type A candidate
Type A candidate|co0.02|ov4.9|sep8.1,cand_lam0_init1,0.0,1,0.1,27.67505654907977,27.183972759592567,4.910837894872036,0.020040823837316233,8.134968698827022,Type A candidate
Type A candidate|co0.02|ov4.9|sep8.1,cand_lam0_init1,0.0,1,0.5,29.639391707028587,27.183972759592567,4.910837894872036,0.020040823837316233,8.134968698827022,Type A candidate
Type A candidate|co0.02|ov4.9|sep8.1,cand_lam0_init1,0.0,1,1,32.0948106544646,27.183972759592567,4.910837894872036,0.020040823837316233,8.134968698827022,Type A candidate
Type A candidate|co0.02|ov4.9|sep8.1,cand_lam0_init1,0.0,1,5,51.73816223395275,27.183972759592567,4.910837894872036,0.020040823837316233,8.134968698827022,Type A candidate
Type B candidate|co0.12|ov3.2|sep5.4,cand_lam0_init2,0.0,2,0,19.50916561746147,19.50916561746147,3.1651098697894025,0.12384233713432134,5.376993709510392,Type B candidate
Type B candidate|co0.12|ov3.2|sep5.4,cand_lam0_init2,0.0,2,0.01,19.540816716159362,19.50916561746147,3.1651098697894025,0.12384233713432134,5.376993709510392,Type B candidate
Type B candidate|co0.12|ov3.2|sep5.4,cand_lam0_init2,0.0,2,0.05,19.66742111095094,19.50916561746147,3.1651098697894025,0.12384233713432134,5.376993709510392,Type B candidate
Type B candidate|co0.12|ov3.2|sep5.4,cand_lam0_init2,0.0,2,0.1,19.82567660444041,19.50916561746147,3.1651098697894025,0.12384233713432134,5.376993709510392,Type B candidate
Type B candidate|co0.12|ov3.2|sep5.4,cand_lam0_init2,0.0,2,0.5,21.091720552356172,19.50916561746147,3.1651098697894025,0.12384233713432134,5.376993709510392,Type B candidate
Type B candidate|co0.12|ov3.2|sep5.4,cand_lam0_init2,0.0,2,1,22.674275487250874,19.50916561746147,3.1651098697894025,0.12384233713432134,5.376993709510392,Type B candidate
Type B candidate|co0.12|ov3.2|sep5.4,cand_lam0_init2,0.0,2,5,35.334714966408484,19.50916561746147,3.1651098697894025,0.12384233713432134,5.376993709510392,Type B candidate
Type A candidate|co0.04|ov8.0|sep2.9,cand_lam0_init3,0.0,3,0,32.00155445410075,32.00155445410075,7.975563563106343,0.037132605549299445,2.9385106087189956,Type A candidate
Type A candidate|co0.04|ov8.0|sep2.9,cand_lam0_init3,0.0,3,0.01,32.081310089731815,32.00155445410075,7.975563563106343,0.037132605549299445,2.9385106087189956,Type A candidate
Type A candidate|co0.04|ov8.0|sep2.9,cand_lam0_init3,0.0,3,0.05,32.40033263225607,32.00155445410075,7.975563563106343,0.037132605549299445,2.9385106087189956,Type A candidate
Type A candidate|co0.04|ov8.0|sep2.9,cand_lam0_init3,0.0,3,0.1,32.799110810411385,32.00155445410075,7.975563563106343,0.037132605549299445,2.9385106087189956,Type A candidate
Type A candidate|co0.04|ov8.0|sep2.9,cand_lam0_init3,0.0,3,0.5,35.98933623565392,32.00155445410075,7.975563563106343,0.037132605549299445,2.9385106087189956,Type A candidate
Type A candidate|co0.04|ov8.0|sep2.9,cand_lam0_init3,0.0,3,1,39.97711801720709,32.00155445410075,7.975563563106343,0.037132605549299445,2.9385106087189956,Type A candidate
Type A candidate|co0.04|ov8.0|sep2.9,cand_lam0_init3,0.0,3,5,71.87937226963246,32.00155445410075,7.975563563106343,0.037132605549299445,2.9385106087189956,Type A candidate
Mixed/ambiguous|co0.08|ov7.8|sep3.0,cand_lam0_init4,0.0,4,0,25.839574824338577,25.839574824338577,7.8357694343641615,0.08087343059685785,2.955297749448095,Mixed/ambiguous
Mixed/ambiguous|co0.08|ov7.8|sep3.0,cand_lam0_init4,0.0,4,0.01,25.917932518682218,25.839574824338577,7.8357694343641615,0.08087343059685785,2.955297749448095,Mixed/ambiguous
Mixed/ambiguous|co0.08|ov7.8|sep3.0,cand_lam0_init4,0.0,4,0.05,26.231363296056784,25.839574824338577,7.8357694343641615,0.08087343059685785,2.955297749448095,Mixed/ambiguous
Mixed/ambiguous|co0.08|ov7.8|sep3.0,cand_lam0_init4,0.0,4,0.1,26.623151767774992,25.839574824338577,7.8357694343641615,0.08087343059685785,2.955297749448095,Mixed/ambiguous
Mixed/ambiguous|co0.08|ov7.8|sep3.0,cand_lam0_init4,0.0,4,0.5,29.757459541520657,25.839574824338577,7.8357694343641615,0.08087343059685785,2.955297749448095,Mixed/ambiguous
Mixed/ambiguous|co0.08|ov7.8|sep3.0,cand_lam0_init4,0.0,4,1,33.67534425870274,25.839574824338577,7.8357694343641615,0.08087343059685785,2.955297749448095,Mixed/ambiguous
Mixed/ambiguous|co0.08|ov7.8|sep3.0,cand_lam0_init4,0.0,4,5,65.01842199615939,25.839574824338577,7.8357694343641615,0.08087343059685785,2.955297749448095,Mixed/ambiguous
Type A candidate|co0.04|ov8.2|sep2.3,cand_lam0_init5,0.0,5,0,32.92653304765352,32.92653304765352,8.155753042440589,0.040845494406138626,2.3388157898388444,Type A candidate
Type A candidate|co0.04|ov8.2|sep2.3,cand_lam0_init5,0.0,5,0.01,33.008090578077926,32.92653304765352,8.155753042440589,0.040845494406138626,2.3388157898388444,Type A candidate
Type A candidate|co0.04|ov8.2|sep2.3,cand_lam0_init5,0.0,5,0.05,33.33432069977555,32.92653304765352,8.155753042440589,0.040845494406138626,2.3388157898388444,Type A candidate
Type A candidate|co0.04|ov8.2|sep2.3,cand_lam0_init5,0.0,5,0.1,33.74210835189758,32.92653304765352,8.155753042440589,0.040845494406138626,2.3388157898388444,Type A candidate
Type A candidate|co0.04|ov8.2|sep2.3,cand_lam0_init5,0.0,5,0.5,37.00440956887382,32.92653304765352,8.155753042440589,0.040845494406138626,2.3388157898388444,Type A candidate
Type A candidate|co0.04|ov8.2|sep2.3,cand_lam0_init5,0.0,5,1,41.08228609009411,32.92653304765352,8.155753042440589,0.040845494406138626,2.3388157898388444,Type A candidate
Type A candidate|co0.04|ov8.2|sep2.3,cand_lam0_init5,0.0,5,5,73.70529825985646,32.92653304765352,8.155753042440589,0.040845494406138626,2.3388157898388444,Type A candidate
Type A candidate|co0.03|ov5.3|sep3.5,cand_lam0_init6,0.0,6,0,26.47962274038691,26.47962274038691,5.3151152826730454,0.02811953733320018,3.4759907774180467,Type A candidate
Type A candidate|co0.03|ov5.3|sep3.5,cand_lam0_init6,0.0,6,0.01,26.53277389321364,26.47962274038691,5.3151152826730454,0.02811953733320018,3.4759907774180467,Type A candidate
Type A candidate|co0.03|ov5.3|sep3.5,cand_lam0_init6,0.0,6,0.05,26.745378504520563,26.47962274038691,5.3151152826730454,0.02811953733320018,3.4759907774180467,Type A candidate
Type A candidate|co0.03|ov5.3|sep3.5,cand_lam0_init6,0.0,6,0.1,27.011134268654217,26.47962274038691,5.3151152826730454,0.02811953733320018,3.4759907774180467,Type A candidate
Type A candidate|co0.03|ov5.3|sep3.5,cand_lam0_init6,0.0,6,0.5,29.137180381723436,26.47962274038691,5.3151152826730454,0.02811953733320018,3.4759907774180467,Type A candidate
Type A candidate|co0.03|ov5.3|sep3.5,cand_lam0_init6,0.0,6,1,31.794738023059956,26.47962274038691,5.3151152826730454,0.02811953733320018,3.4759907774180467,Type A candidate
Type A candidate|co0.03|ov5.3|sep3.5,cand_lam0_init6,0.0,6,5,53.05519915375214,26.47962274038691,5.3151152826730454,0.02811953733320018,3.4759907774180467,Type A candidate
Type A candidate|co0.04|ov6.0|sep1.7,cand_lam0_init7,0.0,7,0,29.133149865777714,29.133149865777714,5.965668751706262,0.03541293125902047,1.7399823814384208,Type A candidate
Type A candidate|co0.04|ov6.0|sep1.7,cand_lam0_init7,0.0,7,0.01,29.192806553294776,29.133149865777714,5.965668751706262,0.03541293125902047,1.7399823814384208,Type A candidate
Type A candidate|co0.04|ov6.0|sep1.7,cand_lam0_init7,0.0,7,0.05,29.431433303363026,29.133149865777714,5.965668751706262,0.03541293125902047,1.7399823814384208,Type A candidate
Type A candidate|co0.04|ov6.0|sep1.7,cand_lam0_init7,0.0,7,0.1,29.72971674094834,29.133149865777714,5.965668751706262,0.03541293125902047,1.7399823814384208,Type A candidate
Type A candidate|co0.04|ov6.0|sep1.7,cand_lam0_init7,0.0,7,0.5,32.11598424163085,29.133149865777714,5.965668751706262,0.03541293125902047,1.7399823814384208,Type A candidate
Type A candidate|co0.04|ov6.0|sep1.7,cand_lam0_init7,0.0,7,1,35.09881861748398,29.133149865777714,5.965668751706262,0.03541293125902047,1.7399823814384208,Type A candidate
Type A candidate|co0.04|ov6.0|sep1.7,cand_lam0_init7,0.0,7,5,58.96149362430902,29.133149865777714,5.965668751706262,0.03541293125902047,1.7399823814384208,Type A candidate
Type A candidate|co0.07|ov11.7|sep3.9,cand_lam0_init8,0.0,8,0,28.387970020617512,28.387970020617512,11.671198041018624,0.07008870372007003,3.8987700494214734,Type A candidate
Type A candidate|co0.07|ov11.7|sep3.9,cand_lam0_init8,0.0,8,0.01,28.5046820010277,28.387970020617512,11.671198041018624,0.07008870372007003,3.8987700494214734,Type A candidate
Type A candidate|co0.07|ov11.7|sep3.9,cand_lam0_init8,0.0,8,0.05,28.971529922668445,28.387970020617512,11.671198041018624,0.07008870372007003,3.8987700494214734,Type A candidate
Type A candidate|co0.07|ov11.7|sep3.9,cand_lam0_init8,0.0,8,0.1,29.555089824719374,28.387970020617512,11.671198041018624,0.07008870372007003,3.8987700494214734,Type A candidate
Type A candidate|co0.07|ov11.7|sep3.9,cand_lam0_init8,0.0,8,0.5,34.22356904112682,28.387970020617512,11.671198041018624,0.07008870372007003,3.8987700494214734,Type A candidate
Type A candidate|co0.07|ov11.7|sep3.9,cand_lam0_init8,0.0,8,1,40.059168061636136,28.387970020617512,11.671198041018624,0.07008870372007003,3.8987700494214734,Type A candidate
Type A candidate|co0.07|ov11.7|sep3.9,cand_lam0_init8,0.0,8,5,86.74396022571064,28.387970020617512,11.671198041018624,0.07008870372007003,3.8987700494214734,Type A candidate
Type A candidate|co0.02|ov4.9|sep3.4,cand_lam0_init9,0.0,9,0,29.7536687900736,29.7536687900736,4.922915413577046,0.01567522705905648,3.4465901954529485,Type A candidate
Type A candidate|co0.02|ov4.9|sep3.4,cand_lam0_init9,0.0,9,0.01,29.80289794420937,29.7536687900736,4.922915413577046,0.01567522705905648,3.4465901954529485,Type A candidate
Type A candidate|co0.02|ov4.9|sep3.4,cand_lam0_init9,0.0,9,0.05,29.99981456075245,29.7536687900736,4.922915413577046,0.01567522705905648,3.4465901954529485,Type A candidate
Type A candidate|co0.02|ov4.9|sep3.4,cand_lam0_init9,0.0,9,0.1,30.245960331431306,29.7536687900736,4.922915413577046,0.01567522705905648,3.4465901954529485,Type A candidate
Type A candidate|co0.02|ov4.9|sep3.4,cand_lam0_init9,0.0,9,0.5,32.215126496862126,29.7536687900736,4.922915413577046,0.01567522705905648,3.4465901954529485,Type A candidate
Type A candidate|co0.02|ov4.9|sep3.4,cand_lam0_init9,0.0,9,1,34.67658420365065,29.7536687900736,4.922915413577046,0.01567522705905648,3.4465901954529485,Type A candidate
Type A candidate|co0.02|ov4.9|sep3.4,cand_lam0_init9,0.0,9,5,54.368245857958826,29.7536687900736,4.922915413577046,0.01567522705905648,3.4465901954529485,Type A candidate
Type A candidate|co0.06|ov6.5|sep6.4,cand_lam0_init10,0.0,10,0,24.99897029265272,24.99897029265272,6.452853580649526,0.06257993771648848,6.432907424667999,Type A candidate
Type A candidate|co0.06|ov6.5|sep6.4,cand_lam0_init10,0.0,10,0.01,25.063498828459217,24.99897029265272,6.452853580649526,0.06257993771648848,6.432907424667999,Type A candidate
Type A candidate|co0.06|ov6.5|sep6.4,cand_lam0_init10,0.0,10,0.05,25.321612971685198,24.99897029265272,6.452853580649526,0.06257993771648848,6.432907424667999,Type A candidate
Type A candidate|co0.06|ov6.5|sep6.4,cand_lam0_init10,0.0,10,0.1,25.644255650717675,24.99897029265272,6.452853580649526,0.06257993771648848,6.432907424667999,Type A candidate
Type A candidate|co0.06|ov6.5|sep6.4,cand_lam0_init10,0.0,10,0.5,28.225397082977484,24.99897029265272,6.452853580649526,0.06257993771648848,6.432907424667999,Type A candidate
Type A candidate|co0.06|ov6.5|sep6.4,cand_lam0_init10,0.0,10,1,31.451823873302246,24.99897029265272,6.452853580649526,0.06257993771648848,6.432907424667999,Type A candidate
Type A candidate|co0.06|ov6.5|sep6.4,cand_lam0_init10,0.0,10,5,57.26323819590035,24.99897029265272,6.452853580649526,0.06257993771648848,6.432907424667999,Type A candidate
Type A candidate|co0.03|ov7.4|sep4.3,cand_lam0_init11,0.0,11,0,29.084734627868784,29.084734627868784,7.448474391937087,0.033443033029801776,4.322452567464747,Type A candidate
Type A candidate|co0.03|ov7.4|sep4.3,cand_lam0_init11,0.0,11,0.01,29.159219371788154,29.084734627868784,7.448474391937087,0.033443033029801776,4.322452567464747,Type A candidate
Type A candidate|co0.03|ov7.4|sep4.3,cand_lam0_init11,0.0,11,0.05,29.457158347465636,29.084734627868784,7.448474391937087,0.033443033029801776,4.322452567464747,Type A candidate
Type A candidate|co0.03|ov7.4|sep4.3,cand_lam0_init11,0.0,11,0.1,29.829582067062493,29.084734627868784,7.448474391937087,0.033443033029801776,4.322452567464747,Type A candidate
Type A candidate|co0.03|ov7.4|sep4.3,cand_lam0_init11,0.0,11,0.5,32.808971823837325,29.084734627868784,7.448474391937087,0.033443033029801776,4.322452567464747,Type A candidate
Type A candidate|co0.03|ov7.4|sep4.3,cand_lam0_init11,0.0,11,1,36.533209019805874,29.084734627868784,7.448474391937087,0.033443033029801776,4.322452567464747,Type A candidate
Type A candidate|co0.03|ov7.4|sep4.3,cand_lam0_init11,0.0,11,5,66.32710658755423,29.084734627868784,7.448474391937087,0.033443033029801776,4.322452567464747,Type A candidate
Type A candidate|co0.07|ov8.8|sep4.1,cand_lam0_init12,0.0,12,0,27.273444370217454,27.273444370217454,8.814553084910596,0.07496816590457994,4.1195396809686615,Type A candidate
Type A candidate|co0.07|ov8.8|sep4.1,cand_lam0_init12,0.0,12,0.01,27.361589901066562,27.273444370217454,8.814553084910596,0.07496816590457994,4.1195396809686615,Type A candidate
