sigma,trial,branch_type,family_distance_to_continued,within_threshold,E0,overlap
0.01,0,Type B candidate,0.4190003545959107,True,10.567574334385592,0.03146466966013789
0.01,1,Type B candidate,0.4890711924645573,True,10.561783874841005,0.031134849330238017
0.01,2,Type B candidate,0.46427729196590434,True,10.561688543172906,0.03083973752829513
0.01,3,Type B candidate,0.4553150132691904,True,10.560384243485986,0.03126762337031301
0.01,4,Type B candidate,0.489736622429643,True,10.560921544360422,0.030137984084091872
0.01,5,Type B candidate,0.48901561031562174,True,10.559543774167476,0.030928566286930352
0.01,6,Type B candidate,0.4886860224132876,True,10.56142626905634,0.031115705591958108
0.01,7,Type B candidate,0.48917259021907444,True,10.560700802457735,0.030747155196798923
0.02,0,Type B candidate,0.4893127754413152,True,10.563222263247837,0.029640167107921986
0.02,1,Type B candidate,0.4890150881134683,True,10.562307906958635,0.03142502142586627
0.02,2,Type B candidate,0.4557503642215007,True,10.562198766801236,0.030657640274344738
0.02,3,Type B candidate,0.454989080805077,True,10.559616931630622,0.03161347856895877
0.02,4,Type B candidate,0.46561026641786873,True,10.560612989746957,0.02935361213482176
0.02,5,Type B candidate,0.48896339189107896,True,10.557844623695757,0.030858717902896734
0.02,6,Type B candidate,0.48833281869154804,True,10.561645853354154,0.031327369854817155
0.02,7,Type B candidate,0.48923964348186466,True,10.560198400550009,0.030577114414428643
0.05,0,Type B candidate,0.44720426107015265,True,10.567515330126925,0.027220860817480333
0.05,1,Type B candidate,0.4464801827203585,True,10.564004102577885,0.03224647713569344
0.05,2,Type B candidate,0.5207143915842197,True,10.563669676105446,0.029952633668000363
0.05,3,Type B candidate,0.4628008958156646,True,10.557519329325704,0.03249346942667185
0.05,4,Type B candidate,0.492425564738375,True,10.559033473889977,0.027712198831839226
0.05,5,Type B candidate,0.5276941815285661,True,10.552532220656008,0.03051869981239938
0.05,6,Type B candidate,0.479537476248655,True,10.562189835220748,0.03192035573708623
0.05,7,Type B candidate,0.5503650351255086,True,10.558829912982636,0.02991485864609859
0.1,0,Type B candidate,0.41050347968263545,True,10.577388534957375,0.02393545783590258
0.1,1,Type B candidate,0.4088377839541743,True,10.56771473510852,0.033444986704959684
0.1,2,Type B candidate,0.4384980078801508,True,10.56838397662055,0.028936052171686315
0.1,3,Type B candidate,0.4357753902376278,True,10.555995336426289,0.03339079829620689
0.1,4,Type B candidate,0.4719048528697118,True,10.55514912224565,0.027778241018920746
0.1,5,Type B candidate,0.46300917970569844,True,10.54661787474383,0.031073563785111717
0.1,6,Type B candidate,0.4543434947056097,True,10.563720443832347,0.03246347773599629
0.1,7,Type B candidate,0.48301731641824097,True,10.558061439377932,0.029026237547835704
