trajectory,iter,simplex_count,simplex_mass,near_zero_count,near_one_count,tau01_count_min,tau01_count_max,tau01_comp_min,tau01_comp_max,total_energy,max_gnorm
raw,1,1,0.005202699821102996,6,0,276,277,9,12,91.49027294097823,16.161569482468064
raw,10,0,0.0,12,0,279,302,1,10,86.0302586058773,0.2573192250206718
raw,20,0,0.0,16,0,282,327,1,8,81.34312902462118,0.22850031042373672
raw,30,0,0.0,16,0,295,331,1,5,77.39111255894902,0.21379025046351816
raw,40,0,0.0,23,0,305,329,1,4,73.7358767079465,0.20833237734656254
raw,50,0,0.0,32,0,306,325,1,4,70.1558746391337,0.20826706731304187
raw,60,0,0.0,49,0,302,322,1,4,66.57299837012434,0.2107629495239267
raw,70,0,0.0,60,0,296,310,1,4,62.973488203383106,0.21416062609406303
raw,80,0,0.0,76,1,289,302,1,5,59.39296218865084,0.21737546847694786
raw,90,0,0.0,94,2,275,292,2,9,55.88650116666016,0.22000743534109643
raw,100,0,0.0,113,6,270,283,2,11,52.52377886539288,0.22178597190924423
raw,110,0,0.0,127,7,257,273,2,10,49.356868561267696,0.22309565962142158
raw,120,0,0.0,150,9,251,266,5,11,46.42755399216258,0.22462611741444474
raw,130,0,0.0,171,13,243,255,4,9,43.76305670804142,0.2271648933577624
raw,140,0,0.0,197,15,232,246,5,7,41.369156374165705,0.229108097333422
raw,150,0,0.0,220,21,225,237,3,4,39.25548362309745,0.23082388512566848
raw,160,0,0.0,243,25,220,226,4,5,37.414519374660564,0.232542417454995
raw,170,0,0.0,264,28,212,215,3,4,35.84516431004407,0.23381279606762356
raw,180,0,0.0,283,27,203,205,4,4,34.52937052942084,0.23487182829202324
raw,190,0,0.0,304,29,198,201,4,5,33.40527328545602,0.23710312411215223
raw,200,0,0.0,316,27,193,195,3,4,32.46093454655055,0.2392288421675604
raw,210,0,0.0,327,27,191,193,3,3,31.65532294681354,0.2412353414282477
raw,220,0,0.0,337,23,185,188,2,3,30.963245635990532,0.24312436386122407
raw,230,0,0.0,349,20,182,184,1,5,30.362835820410734,0.2449123842199072
raw,240,0,0.0,360,19,181,182,1,5,29.85308124162184,0.24645784968361667
raw,250,0,0.0,369,18,181,182,1,5,29.406238028089845,0.2478973157813829
raw,260,0,0.0,377,16,181,182,1,5,29.016462793206102,0.2491902988959868
raw,270,0,0.0,387,14,180,180,1,5,28.674901731999576,0.25032510328122504
raw,280,0,0.0,396,14,179,180,1,5,28.372844135101815,0.2512663053209122
raw,290,0,0.0,401,14,179,179,1,5,28.10082188683165,0.2520392663678756
raw,300,0,0.0,402,14,178,179,1,5,27.852504953729685,0.25267959911841037
seed,1,0,0.0,484,11,144,145,1,4,17.902276161795726,0.25577864225650526
seed,10,0,0.0,484,11,144,145,1,4,17.88826043472851,0.2558069726812356
seed,20,0,0.0,483,11,144,145,1,4,17.872499614793778,0.25583669831171285
seed,30,0,0.0,483,11,144,145,1,4,17.856593590856995,0.25586456764827403
seed,40,0,0.0,483,12,144,145,1,4,17.8406008741449,0.25589112444830786
seed,50,0,0.0,483,11,144,146,1,4,17.82458211813565,0.2559166387064744
seed,60,0,0.0,483,11,144,146,1,4,17.808597925479766,0.2559412299217322
seed,70,0,0.0,483,11,144,146,1,4,17.792706565276195,0.2559651777570433
seed,80,0,0.0,484,11,144,146,1,4,17.776964770339763,0.25598872766668623
seed,90,0,0.0,486,11,144,146,1,4,17.761564865165848,0.2560073685156547
seed,100,0,0.0,486,11,144,146,1,4,17.746604315648046,0.2560207696049311
seed,110,0,0.0,486,11,144,146,1,4,17.731989242343435,0.25603544578341914
seed,120,0,0.0,486,11,144,146,1,4,17.717740650411002,0.25605122645154227
seed,130,0,0.0,486,11,145,146,1,4,17.70387267749141,0.2560678760900006
seed,140,0,0.0,486,11,145,146,1,4,17.690392566698925,0.25608509700935345
seed,150,0,0.0,485,11,145,146,1,4,17.677300845807558,0.25610248754470843
seed,160,0,0.0,484,11,145,146,1,4,17.664585467709113,0.256118446463549
seed,170,0,0.0,484,11,145,146,1,4,17.652224264079525,0.2561312468101088
seed,180,0,0.0,484,11,145,146,1,4,17.64019432386742,0.25613985589614696
seed,190,0,0.0,484,11,145,146,1,4,17.628466652524068,0.25614528139879034
seed,200,0,0.0,484,11,145,146,1,4,17.617016316243202,0.25614748788872094
seed,210,0,0.0,484,12,145,146,1,4,17.60581861633706,0.25614627207654034
seed,220,0,0.0,484,12,145,146,1,4,17.594847061122938,0.25614172448704586
seed,230,0,0.0,484,12,145,146,1,4,17.58407453080219,0.2561338900110538
seed,240,0,0.0,484,12,145,146,1,4,17.573472995230542,0.2561228324118158
seed,250,0,0.0,484,12,145,146,1,4,17.563013527851414,0.2561086768063244
seed,260,0,0.0,484,12,146,146,1,4,17.552666417427794,0.2560916163488745
seed,270,0,0.0,484,12,146,146,1,4,17.542401342063204,0.25607191545957864
seed,280,0,0.0,485,12,145,146,1,4,17.532190382460218,0.2560497615552109
seed,290,0,0.0,485,13,145,146,1,4,17.522001399544568,0.25602566446977476
seed,300,0,0.0,485,13,145,146,1,4,17.511803682026983,0.25600006813124526
